prognosis,Introduction,Remedies
Fungal infection,"Fungal infections are any disease you get from a fungus. They affect your skin, hair, nails, mucous membranes, lungs or other parts of your body.",1. Eat Yoghurt and Probiotics 2. Wash with Soap and Water 3. Use Apple Cider Vinegar 4. Use Tea Tree Oil
Allergy,"Allergies occur when your immune system reacts to a foreign substance � such as pollen, bee venom","Avoiding allergens,Taking a steam shower,Getting enough rest,Eating a healthy diet"
GERD,Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the tube connecting your mouth and stomach (esophagus).,"Eating smaller meals,Raising the head of the bed,Avoiding tight-fitting clothing,Drinking herbal tea"
Chronic cholestasis,"Cholestasis is a liver disease. It occurs when the flow of bile from your liver is reduced or blocked. Bile is fluid produced by your liver that aids in the digestion of food, especially fats.","Eating a healthy diet,Avoiding alcohol,Exercise regularly,Stay hydrated,Milk thistle"
Drug Reaction,"Adverse drug reactions (adverse effects) are any unwanted effects of drugs . Mild or moderate adverse drug reactions do not necessarily mean that people must stop taking a medication, especially if no suitable alternative is available. ","Discontinue the medication,Take an antihistamine,Use over-the-counter creams,take an antihistamine:"
Peptic ulcer diseae,"A perforation or hole in the lining of the small intestine, lower oesophagus or stomach.peptic ulcers can result in: Internal bleeding. Bleeding can occur as slow blood loss that leads to anemia ","Eating a healthy diet,Avoiding trigger foods,Quitting smoking,Reducing stress,Drinking chamomile tea"
AIDS,"A viral infection that attacks the immune system and causes AIDS. HIV is primarily a sexually transmitted disease (STD), transmitted by heterosexual and homosexual practices: anal, vaginal, and oral sex.","Stress reduction,Adequate sleep,Avoid alcohol and drugs,Healthy diet"
Diabetes ,Diabetes is a chronic disease that occurs either when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces.,"Medications,Blood sugar monitoring,Diet and exercise"
Gastroenteritis,"gastroenteritis is an intestinal infection that includes signs and symptoms such as watery diarrhea, stomach cramps, nausea or vomiting, and sometimes fever.","Peppermint,Ginger,Eating bland foods,Rest,Stay Hydrated"
Bronchial Asthma,"A lung disorder characterised by narrowing of the airways, the tubes which carry air into the lungs, that are inflamed and constricted, causing shortness of breath, wheezing and cough.","1.Gargling salt water may help break up mucus and reduce pain in your throat,2.regular breathing exercises can help reduce asthma symptoms"
Hypertension ,High pressure in the arteries (vessels that carry blood from the heart to the rest of the body). Symptoms varies from person to person and generally include unexplained fatigue and headache.,"1. Lose extra pounds and watch your waistline,2. Exercise regularly,3. Eat a healthy diet,4. Reduce sodium in your diet,5. Limit the amount of alcohol you drink"
Migraine,"A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound.","1. Apply a cold compress If you�ve ever put an ice pack on an injury or a heating pad on a sore back,2.Acupressure. Acupressure involves applying pressure to specific parts of the body. "
Cervical spondylosis,"Cervical spondylosis is a common condition that affects the neck as we age, causing pain, stiffness, and headaches.","Regular Exercise,2. Cervical Traction,3. Hot and Cold Compresses,4. Epsom Salt Bath,5. Massage."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain.If a blood vessel in the brain leaks or bursts and causes bleeding, a hemorrhagic stroke occurs.","Essential oils,Massage,Yoga and meditation,Exercise"
Jaundice,"Jaundice (also called icterus) is when the skin and the whites of the eyes become a yellow color. People with jaundice have a problem with their liver, which stops it from removing heme properly.","Consuming turmeric,Drinking lemon water,Avoiding alcohol and processed foods,"
Malaria,Malaria is a life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes. It is preventable and curable,"Taking herbal supplements,Using natural remedies,Eating a healthy diet,Drinking fluids"
Chicken pox,Chickenpox is an infection that causes a skin rash. The disease is caused by a germ called varicella-zoster virus.Chickenpox primarily occurs in children under 10 years of age but can affect the adults as well,"Vitamin E oil,Cool compresses,Baking soda,Oatmeal baths"
Dengue,Dengue fever is a mosquito-borne tropical disease caused by the dengue virus. Symptoms typically begin three to fourteen days after infection,"Rest,Hydration,Monitor blood platelet count"
Typhoid,"Typhoid is an infection caused by Salmonella bacteria. Symptoms include a high fever of up to 104�F, diarrhea, and vomiting. It can be life threatening if a person does not have early treatment with antibiotics.","1.Antibiotics,2.Hydration,3.Rest,4.Proper nutrition,5.Fever management"
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause liver inflammation and affect your liver's ability to function.,"1.Vaccination,2.Hydration,3.Rest,4.Proper nutrition,5.Fever management"
